AccessionYear,Object Name,Culture,Dynasty,Artist Display Name,Artist Nationality,Artist Begin Date,Artist End Date,year,Classification
1896,Panel,China,Unknown,Unidentified artist,Unknown,,,1650,Leatherwork
1909,Pictorial map,China,Unknown,Unidentified artist,,,,1800,Paintings
1912,Hanging scroll,China,Qing dynasty,Jin Zunnian,Chinese,1700,1800,1732,Paintings
1913,Hanging scroll,China,late Ming dynasty,Ding Yunpeng,Chinese,1547,1628,1585,Paintings
1913,Hanging scroll,China,Qing dynasty,Wang Hui,Chinese,1632,1717,1700,Paintings
1913,Folding fan mounted as an album leaf,China,Qing dynasty,Wang Hui,Chinese,1632,1717,1700,Paintings
1913,Folding fan mounted as an album leaf,China,Qing dynasty,Wang Jian,Chinese,1609,1677,1700,Paintings
1913,Folding fan mounted as an album leaf,China,Qing dynasty,Wang Shimin,Chinese,1592,1680,1700,Paintings
1913,Folding fan mounted as an album leaf,China,Qing dynasty,Wang Hui,Chinese,1632,1717,1707,Paintings
1913,Folding fan mounted as an album leaf,China,Qing dynasty,Zha Shibiao,Chinese,1615,1698,1700,Calligraphy
1913,Folding fan mounted as an album leaf,China,Ming or Qing dynasty,Dong Yuan,Chinese,1600,1644,1591,Paintings
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Wen Zhongyi,Chinese,1500,1599,1534,Calligraphy
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Wen Zhengming,Chinese,1470,1559,1368,Paintings
1913,Folding fan mounted as an album leaf,China,Qing dynasty,Wang Duo,Chinese,1592,1652,1644,Calligraphy
1913,Folding fan mounted as an album leaf,China,Ming or Qing dynasty,Shen Hao,Chinese,1630,1650,1630,Paintings
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Wang Zhideng,Chinese,1535,1612,1600,Calligraphy
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Peng Nian,Chinese,1505,1566,1500,Calligraphy
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Song Maojin,Chinese,1571,1635,1600,Paintings
1913,Folding fan mounted as an album leaf,China,Qing dynasty,Wu Kuan,Chinese,1435,1504,1700,Calligraphy
1913,Folding fan mounted as an album leaf,China,Ming–Qing dynasty,Cheng Jiasui,Chinese,1565,1644,1368,Paintings
1913,Folding fan mounted as an album leaf,China,Qing dynasty,Yu Dongru,Chinese,1350,1650,1667,Calligraphy
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Li Liufang,Chinese,1575,1629,1613,Paintings
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Chen Jichun,Chinese,1633,1667,1635,Paintings
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Wu Bin,Chinese,1583,1626,1603,Paintings
1913,Folding fan mounted as an album leaf,China,late Ming or early Qing dynasty,Chen Hongshou,Chinese,1598,1652,1368,Calligraphy
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Pan Yunyu,Chinese,1400,1599,1604,Paintings
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Yuan Zhi,Chinese,1502,1547,1502,Calligraphy
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Qi Zhijia,Chinese,1627,1682,1643,Paintings
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Wen Congjian,Chinese,1574,1648,1575,Calligraphy
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Zhang Chong,Chinese,1570,1610,1570,Paintings
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Li Qiao,Chinese,1350,1650,1368,Calligraphy
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Shao Mi,Chinese,1620,1660,1640,Paintings
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Yang Wencong,Chinese,1597,1646,1597,Calligraphy
1913,Folding fan mounted as an album leaf,China,Qing dynasty,Zhuang Jiongsheng,Chinese,1626,1726,1644,Paintings
1913,Folding fan mounted as an album leaf,China,Qing dynasty,Wen Zhi,Chinese,1634,1699,1670,Paintings
1913,Folding fan mounted as an album leaf,China,Qing dynasty,Wu Shantao,Chinese,1624,1710,1667,Paintings
1913,Folding fan mounted as an album leaf,China,Ming dynasty,Rüan Dacheng,Chinese,1550,1700,1600,Calligraphy
1913,Fan mounted as an album leaf,China,late Yuan–early Ming dynasty,Unidentified artist,,,,1300,Paintings
1913,Album leaf,China,Southern Song dynasty,Xia Gui,Chinese,1195,1230,1200,Paintings
1913,Fan mounted as an album leaf,China,Southern Song dynasty,Unidentified artist,Unknown,,,1200,Paintings
1913,Fan mounted as an album leaf,China,Song dynasty,Unidentified artist,,,,1200,Paintings
1913,Fan mounted as an album leaf,China,Ming dynasty,Unidentified artist,,,,1500,Paintings
1913,Fan mounted as an album leaf,China,Yuan dynasty,Unidentified artist,,,,1167,Paintings
1913,Hanging scroll,China,Ming dynasty,Unidentified artist,,,,1500,Paintings
1913,Handscroll,China,Ming dynasty,Unidentified artist,,,,1467,Paintings
1913,Hanging scroll,China,Ming dynasty,Unidentified artist,,,,1467,Paintings
1913,Hanging scroll,China,Ming dynasty,Qiu Ying,Chinese,1485,1562,1495,Paintings
1913,Hanging scroll,China,Qing dynasty,Zhao Zuo,Chinese,1560,1630,1630,Paintings
1913,Hanging scroll,China,Qing dynasty,Chen Shu,Chinese,1660,1736,1721,Paintings
1913,Hanging scroll,China,Qing dynasty,Yun Shouping,Chinese,1633,1690,1644,Paintings
1913,Hanging scroll,China,Qing dynasty,Tang Yifen,Chinese,1778,1853,1845,Paintings
1913,Handscroll,China,Qing dynasty,Shitao (Zhu Ruoji),Chinese,1642,1707,1800,Paintings
1913,Handscroll,China,Ming–Qing dynasty,Wen Boren,Chinese,1502,1575,1558,Paintings
1913,Album leaf,China,Ming–Qing dynasty,Ma Lin,Chinese,1180,1256,1368,Paintings
1913,Hanging scroll,China,Ming dynasty,Guanxiu,Chinese,0930,0950,1400,Paintings
1913,Hanging scroll,China,Ming dynasty,Gu Yide,Chinese,1620,1630,1368,Paintings
1913,Hanging scroll,China,Ming dynasty,Zhang Lu,Chinese,1490,1563,1500,Paintings
1913,Hanging scroll,China,Ming dynasty,Ju Jie,Chinese,1531,1585,1559,Paintings
1913,Hanging scroll,China,Qing dynasty,Wu Li,Chinese,1632,1718,1703,Paintings
1913,Hanging scroll,China,Qing dynasty,Wang Wenzhi,Chinese,1730,1802,1644,Paintings
1913,Hanging scroll,China,Qing dynasty,Zhang Geng,Chinese,1685,1760,1759,Paintings
1914,Hanging scroll,China,Ming dynasty,Unidentified artist,,,,1500,Paintings
1916,Hanging scroll,China,Ming dynasty,Shen Shuo,Chinese,1500,1600,1544,Paintings
1918,Casting model,North China,Unknown,Unidentified artist,Unknown,,,-200,Ceramics
1918,Handscroll,China,Ming dynasty,Unidentified artist,Chinese,1041,1106,1368,Paintings
1918,Handscroll,China,Southern Song dynasty,Unidentified artist,Chinese,1190,1210,1200,Paintings
1918,Painting,China,Ming dynasty,Unidentified artist,,,,1567,Paintings
1919,Handscroll,China,Ming dynasty,Wen Tong,Chinese,1019,1079,1500,Paintings
1922,Framed scroll,China,Qing dynasty,Jiang Tingxi,Chinese,1669,1732,1724,Paintings
1923,Album leaf,China,Southern Song dynasty,Ma Yuan,Chinese,1190,1225,1200,Paintings
1929,Portable shrine,"China (Xinjiang Autonomous Region, Turfan area)",Unknown,Unidentified artist,Unknown,,,400,Sculpture
1929,Album leaf,China,Ming dynasty,Unidentified artist,,,,1400,Paintings
1929,Hanging scroll,China,Yuan dynasty,Li Gonglin,Chinese,1041,1106,1300,Paintings
1929,Handscroll,China,Yuan dynasty,Unidentified artist,Chinese,1235,1262,1300,Paintings
1932,Figure,China,Qing dynasty,Unidentified artist,Unknown,,,1700,Jade
1934,Hanging scroll,China,Unknown,Jiang Baohua,Chinese,,,1867,Paintings
1942,Figure,China,Dali kingdom,Unidentified artist,Unknown,,,1100,Sculpture
1942,Album,China,Qing dynasty,Zhang Zongcang,Chinese,1686,1756,1741,Paintings
1947,Handscroll,China,Qing dynasty,Unidentified artist,,,,1700,Paintings
1947,Handscroll,China,Qing dynasty,Unidentified artist,Chinese,1000,1090,1600,Paintings
1947,Hanging scroll,China,Ming dynasty,Lin Liang,Chinese,1416,1480,1416,Paintings
1947,Hanging scroll,China,Ming dynasty,Ma Shida,Chinese,1400,1500,1400,Paintings
1947,Fan mounted as an album leaf,China,Southern Song dynasty,Ma Yuan,Chinese,1190,1225,1200,Paintings
1947,Fan mounted as an album leaf,China,late Yuan–early Ming dynasty,Unidentified artist,Chinese,1060,1080,1271,Paintings
1947,Hanging scroll,China,Ming dynasty,Unidentified artist,,,,1500,Paintings
1947,Album leaf,China,Song dynasty,Ma Lin,Chinese,1180,1256,1226,Paintings
1947,Fan mounted as an album leaf,China,Song dynasty,Unidentified artist,,,,1271,Paintings
1947,Hanging scroll,China,Yuan dynasty,Unidentified artist,,,,1345,Paintings
1947,Hanging scroll,China,Ming dynasty,Zhou Zonglian,Chinese,1368,1644,1532,Paintings
1947,Handscroll,China,Qing dynasty,Ma Quan,Chinese,1720,1800,1700,Paintings
1947,Handscroll,China,Unknown,Unidentified artist,,,,1800,Paintings
1947,Hanging scroll,China,Ming dynasty,Unidentified artist,Chinese,1195,1230,1467,Paintings
1947,Handscroll,China,Ming dynasty,Tang Yin,Chinese,1470,1524,1470,Paintings
1947,Album leaf,China,Southern Song dynasty,Unidentified artist,,,,1200,Paintings
1947,Fan mounted as an album leaf,China,Song dynasty,Unidentified artist,,,,1200,Paintings
1947,Album leaf,China,Yuan–Ming dynasty,Unidentified artist,,,,1300,Paintings
1947,Album,China,Unknown,Unidentified artist,Chinese,1760,1790,1900,Paintings
1952,Hanging scroll,China,Ming dynasty,Xie Shichen,Chinese,1487,1567,1548,Paintings
1953,Hanging scroll,China,Ming dynasty,Unidentified artist,,,,1400,Paintings
1953,Hanging scroll,China,Qing dynasty,Unidentified artist,,,,1667,Paintings
1955,Handscroll,China,Ming dynasty,Dong Qichang,Chinese,1555,1636,1350,Paintings
1955,Hanging scroll,China,Qing dynasty,Wang Hui,Chinese,1632,1717,1600,Paintings
1955,Handscroll,China,Qing dynasty,Cheng Zhengkui,Chinese,1604,1676,1600,Paintings
1956,Hanging scroll,China,Unknown,Xu Beihong,Chinese,1895,1953,1941,Paintings
1956,Hanging scroll,China,Qing dynasty,Zhu Ling,Chinese,1820,1850,1820,Paintings
1956,Hanging scroll,China,Unknown,Zhang Daqian,Chinese,18991899,19831983,1947,Paintings
1957,Hanging scroll,China,Ming dynasty,Unidentified artist,Chinese,1175,1195,1400,Paintings
1958,Hanging scroll,China,Ming dynasty,Zhu Duan,Chinese,1490,1531,1518,Paintings
1959,Hanging scroll,China,Ming dynasty,Ruan Zude,Chinese,1500,1699,1561,Paintings
1959,Hanging scroll,China,Ming dynasty,Ruan Zude,Chinese,1500,1699,1561,Paintings
1959,Album,China or Japan,Ming or Qing dynasty,Chen Xian,Chinese,1634,1677,1634,Paintings
1959,Hanging scroll,China,Ming dynasty,Liu Shiru,Chinese,1550,1600,1550,Paintings
1961,Statue,China,Northern Song dynasty,Unidentified artist,Unknown,,,1000,Sculpture
1962,Fan,China,Qing dynasty,Unidentified artist,Unknown,,,1800,Fans
1962,Fan,China,Qing dynasty,Unidentified artist,Unknown,,,1800,Fans
1963,Hanging scroll,China,Qing dynasty,Qi Zhijia,Chinese,1627,1682,1651,Paintings
1964,Album leaf,China,Qing dynasty,Xiang Shengmo,Chinese,1597,1658,1654,Paintings
1964,Album leaf,China,Qing dynasty,Ye Xin,Chinese,1640,1640,1654,Paintings
1964,Album leaf,China,Qing dynasty,Shi Lin,Chinese,1610,1670,1654,Paintings
1966,Handscroll,China,Qing dynasty,Unidentified artist,Unknown,,,1761,Paintings
1967,Hanging scroll,China,Ming dynasty,Tang Yin,Chinese,1470,1524,1470,Paintings
1967,Handscroll,China,Ming dynasty,Zhang Hong,Chinese,1577,1652,1639,Paintings
1968,Handscroll,China,Ming dynasty,Wei Zhike,Chinese,1600,1636,1635,Paintings
1968,Hanging scroll,China,Qing dynasty,Zheng Xie,Chinese,1693,1765,1693,Paintings
1972,Hanging scroll,China,Unknown,Chen Hongshou,Chinese,1598,1652,1912,Paintings
1972,Hanging scroll,China,Ming dynasty,Chen Hongshou,Chinese,1598,1652,1350,Paintings
1972,Hanging scroll,China,Qing dynasty,Wang Jian,Chinese,1609,1677,1657,Paintings
1972,Hanging scroll,China,Qing dynasty,Yang Jin,,1644,1728,1726,Paintings
1972,Hanging scroll,China,Qing dynasty,Fang Shishu,Chinese,1692,1751,1692,Paintings
1972,Album,China,Ming dynasty,Wen Zhengming,Chinese,1470,1559,1470,Paintings
1975,Hanging scroll,China,Qing dynasty,Shen Quan,Chinese,1682,1762,1700,Paintings
1975,Hanging scroll,China,Qing dynasty,Shen Quan,Chinese,1682,1762,1750,Paintings
1976,Framed hanging scroll,China,Ming dynasty,Unidentified artist,,,,1600,Paintings
1976,Hanging scroll,China,Qing dynasty,Chen Zi,Chinese,1634,1711,1644,Paintings
1976,Hanging scrolls,China,Qing dynasty,Weng Tonghe,Chinese,1830,1904,1830,Calligraphy
1978,Handscroll,China,Ming dynasty,Zhang Bi,Chinese,1425,1487,1478,Paintings
1978,Hanging scrolls,China,Qing dynasty,Liang Tongshu,Chinese,1723,1815,1723,Calligraphy
1978,Hanging scroll,China,Unknown,Qi Baishi,Chinese,1864,1957,1920,Paintings
1978,Hanging scroll,China,Unknown,Qi Baishi,Chinese,1864,1957,1864,Paintings
1979,Album,China,Qing dynasty,Wang Jian,Chinese,1609,1677,1674,Paintings
1980,Album,China,Qing dynasty,Gong Xian,Chinese,1619,1689,1675,Paintings
1981,Album,China,Qing dynasty,Gong Xian,Chinese,1619,1689,1688,Paintings
1980,Hand scroll,China,Qing dynasty,Liu Yong,Chinese,1719,1805,1803,Calligraphy
1981,Hanging scroll,China,Qing dynasty,Li Yin,Chinese,1650,1825,1700,Paintings
1981,Folding fan mounted as an album leaf,China,Qing dynasty,Mei Qing,Chinese,1623,1697,1623,Paintings
1981,Hanging scroll,China,Ming dynasty,Wen Jia,Chinese,1501,1583,1578,Paintings
1981,Hanging scroll,China,Ming dynasty,Zhang You,Chinese,1400,1499,1434,Paintings
1982,Album leaf,China,Southern Song dynasty,Unidentified artist,,,,1200,Paintings
1982,Hanging scroll,China,Ming dynasty,Xie Shichen,Chinese,1487,1567,1487,Paintings
1982,Hanging scroll,China,Qing dynasty,Gao Xiang,Chinese,1700,1730,1700,Paintings
1982,Hanging scroll,China,Ming dynasty,Unidentified artist,,,,1367,Paintings
1982,Fan mounted as an album leaf,China,Southern Song dynasty,Xia Gui,Chinese,1195,1230,1200,Paintings
1984,Calligraphy,China,Qing dynasty,Various artists,,,,1750,Rubbing
1985,Album,China,Qing dynasty,Ren Yi (Ren Bonian),Chinese,1840,1896,1800,Paintings
1986,Handscroll,China,Qing dynasty,Yan Zhenqing,Chinese,07091688,07851743,1729,Calligraphy
1986,Hanging scroll,China,Qing dynasty,Wang Gong,Chinese,1800,1899,1800,Paintings
1986,Hanging scroll,China,Qing dynasty,Gai Qi,Chinese,1773,1828,1774,Paintings
1986,Hanging scroll,China,Qing dynasty,Xie Lansheng,Chinese,1760,1831,1815,Paintings
1986,Hanging scroll,China,Qing dynasty,Pan Simu,Chinese,1756,1842,1841,Paintings
1986,Hanging scroll,China,Qing dynasty,Huang Jun,Chinese,1775,1850,1846,Paintings
1986,Hanging scroll,China,Qing dynasty,Tang Yifen,Chinese,1778,1853,1778,Paintings
1986,Hanging scroll,China,Qing dynasty,Li Xiuyi,Chinese,1811,1911,1843,Paintings
1986,Hanging scrolls,China,Qing dynasty,Dai Xi,Chinese,1801,1860,1834,Paintings
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Wang Tingru,Chinese,1804,1852,1804,Paintings
1986,Album leaf,China,Qing dynasty,Cheng Tinglu,Chinese,1796,1858,1827,Paintings
1986,Album leaf,China,Qing dynasty,Shen Zhuo,Chinese,1800,1899,1827,Paintings
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Liu Deliu,Chinese,1806,1875,1868,Paintings
1986,Hanging scroll,China,Qing dynasty,Wu Xizai,Chinese,1799,1870,1852,Paintings
1986,Hanging scrolls,China,Qing dynasty,Zhou Cunbo,Chinese,1820,1875,1870,Paintings
1986,Hanging scroll,China,Qing dynasty,Wang Su,Chinese,1794,1877,1862,Paintings
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Zhao Zhiqian,Chinese,1829,1884,1862,Paintings
1986,Hanging scroll,China,Qing dynasty,Zhao Zhiqian,Chinese,1829,1884,1870,Paintings
1986,Hanging scroll,China,Qing dynasty,Hu Yuan,Chinese,1823,1886,1823,Paintings
1986,Hanging scroll,China,Qing dynasty,Chen Ran,Chinese,1816,1884,1816,Paintings
1986,Hanging scroll,China,Qing dynasty,Zhang Xiong,Chinese,1803,1886,1858,Paintings
1986,Hanging scroll,China,Qing dynasty,Zhang Xiong,Chinese,1803,1886,1878,Paintings
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Ju Chao,Chinese,1823,1889,1859,Paintings
1986,Album,China,Qing dynasty,Du Xiang,Chinese,1850,1899,1867,Paintings
1986,Hanging scrolls,China,Qing dynasty,Ren Xun,Chinese,1835,1893,1835,Paintings
1986,Album,China,Qing dynasty,Ren Yi (Ren Bonian),Chinese,1840,1896,1840,Paintings
1986,Album,China,Qing dynasty,Zhang Zhiwan,Chinese,1811,1897,1875,Paintings
1986,Fan mounted as an album leaf,China,Qing dynasty,Shu Hao,Chinese,1868,1899,1867,Paintings
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Gu Yun,,1835,1896,1869,Paintings
1986,Hanging scroll,China,Qing dynasty,Gu Yun,,1835,1896,1835,Paintings
1986,Hanging scroll,China,Qing dynasty,Gu Yun,,1835,1896,1835,Paintings
1986,Hanging scroll,China,Qing dynasty,Wang Li,Chinese,1813,1879,1813,Paintings
1986,Hanging scroll,China,Qing dynasty,Wu Tao,Chinese,1840,1895,1840,Paintings
1986,Hanging scroll,China,Qing dynasty,Zhu Cheng,Chinese,1826,1900,1873,Paintings
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Xu Xiang,Chinese,1850,1899,1883,Paintings
1986,Hanging scroll,China,Qing dynasty,Xu Xiang,Chinese,1850,1899,1889,Paintings
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Wu Guxiang,Chinese,1848,1903,1894,Paintings
1986,Hanging scroll,China,Qing dynasty,Wu Guxiang,Chinese,1848,1903,1900,Paintings
1986,Hanging scroll,China,Qing dynasty,Ren Yu,Chinese,1853,1901,1900,Paintings
1986,Album,China,Qing dynasty,Ju Lian,Chinese,1828,1904,1865,Paintings
1986,Hanging scroll,China,Qing dynasty,Weng Tonghe,Chinese,1830,1904,1901,Paintings
1986,Handscroll,China,Qing dynasty,Song Nian,Chinese,1800,1899,1898,Paintings
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Sha Fu,Chinese,1831,1906,1894,Paintings
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Wu Shixian,Chinese,,1916,1816,Paintings
1986,Hanging scroll,China,Qing dynasty,Wu Shixian,Chinese,,1916,1903,Paintings
1986,Hanging scroll,China,Qing dynasty,Pu Hua,Chinese,1834,1911,1907,Paintings
1986,Hanging scroll,China,Qing dynasty,Zhang Shanghe,Chinese,1839,1916,1839,Paintings
1986,Hanging scroll,China,Qing dynasty,Jiang Yun,Chinese,1847,1919,1888,Paintings
1986,Hanging scroll,China,Qing dynasty,Huang Shanshou,Chinese,1855,1919,1882,Paintings
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Ni Tian,Chinese,1855,1919,1901,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Lu Hui,Chinese,1851,1920,1912,Paintings
1986,Folding fan mounted as an album leaf,China,Qing dynasty,Lu Hui,Chinese,1851,1920,1910,Paintings
